value	date	time
6411.5	2021-11-20	10:07
6418.3	2021-11-21	17:43
6423.4	2021-11-22	23:34
6424.9	2021-11-23	18:29
6428.2	2021-11-24	18:28
6432.5	2021-11-25	20:25
6440.6	2021-11-27	21:39
6445.1	2021-11-28	21:07
6448.5	2021-11-29	18:48
6451.9	2021-12-01	18:39
6454	2021-12-02	20:10
6457	2021-12-03	22:51
6464	2021-12-05	17:22
6477.6	2021-12-06	19:02
6488.3	2021-12-07	19:35
6489.9	2021-12-08	20:11
6492.3	2021-12-09	21:27
6495.1	2021-12-10	22:46
6510.5	2021-12-11	19:51
6515.8	2021-12-12	20:02
6517.3	2021-12-13	18:52
6519.3	2021-12-14	17:43
6521.8	2021-12-15	17:52
6523.2	2021-12-16	17:25
6525.6	2021-12-17	18:49
6528	2021-12-18	17:58
6531.3	2021-12-19	18:02
6533.9	2021-12-20	17:08
6537.7	2021-12-21	17:43
6547.6	2021-12-22	20:20
6549.8	2021-12-23	19:40
6551.7	2021-12-24	18:36
6555	2021-12-25	20:23
6558.1	2021-12-26	21:06
6559.5	2021-12-27	19:13
6561.5	2021-12-28	20:47
6563.6	2021-12-29	19:18
6566.6	2021-12-30	20:10
6571.3	2021-12-31	22:27
6578.6	2022-01-02	19:38
6583.5	2022-01-03	22:16
6586.5	2022-01-04	17:58
6590.4	2022-01-05	16:44
6594.5	2022-01-06	17:26
6598.7	2022-01-07	23:30
6603	2022-01-08	19:16
6606	2022-01-09	18:50
6609.6	2022-01-10	20:44
6611.1	2022-01-11	20:33
6620.1	2022-01-12	23:57
6621.6	2022-01-13	22:31
6622.8	2022-01-14	21:15
6624.3	2022-01-15	21:50
6630.1	2022-01-16	23:16
6631.2	2022-01-17	18:04
6633.1	2022-01-18	22:06
6634.5	2022-01-19	21:52
6636.2	2022-01-20	22:07
6638.9	2022-01-21	22:10
6641.3	2022-01-23	0:12
6648.5	2022-01-24	10:04
6652.1	2022-01-25	8:26
6654.8	2022-01-26	9:37
6658.8	2022-01-27	11:14
6671	2022-01-30	15:26
6674.4	2022-01-31	15:32
6678.2	2022-02-01	19:14
6681	2022-02-02	20:08
6683.5	2022-02-03	23:03
6685.1	2022-02-04	22:56
6687	2022-02-05	14:34
6691	2022-02-06	23:19
6693.9	2022-02-07	22:59
6695.5	2022-02-08	18:24
6699.5	2022-02-10	8:42
6701.1	2022-02-11	8:43
6703.6	2022-02-12	18:01
6705.4	2022-02-13	13:00
6707.9	2022-02-14	8:35
6709.6	2022-02-15	7:54
6711.6	2022-02-16	10:13
67.136	2022-02-17	7:50
6715	2022-02-18	7:50
6717.5	2022-02-19	14:23
6719.9	2022-02-20	11:22
6722.8	2022-02-21	7:52
6723.7	2022-02-22	7:16
6725.5	2022-02-23	14:05
6727.5	2022-02-24	8:33
6728.2	2022-02-25	7:42
6729.7	2022-02-26	8:12
6731.5	2022-02-27	8:59
6734.5	2022-02-28	10:45
6735.9	2022-03-01	8:25
6738	2022-03-02	8:29
6739.4	2022-03-03	8:24
6740.6	2022-03-04	8:24
6741.8	2022-03-05	10:44
6743.3	2022-03-06	
6746.6	2022-03-07	22:15
6750.3	2022-03-09	8:14
6752.3	2022-03-10	8:21
6756	2022-03-12	8:26
6759.4	2022-03-13	12:19
6761.5	2022-03-14	8:34
6769.9	2022-03-19	10:26
6771.6	2022-03-20	10:40
6774.3	2022-03-21	8:37
6775.5	2022-03-22	8:16
6776.9	2022-03-23	8:04
6778.4	2022-03-24	8:04
6779.8	2022-03-25	8:35
6785.5	2022-03-27	12:43
6788.5	2022-03-28	8:07
6804.5	2022-04-04	18:40
6805.9	2022-04-05	7:18
6807.7	2022-04-06	7:37
6809	2022-04-07	7:27
6810.1	2022-04-08	9:54
6811.8	2022-04-09	10:19
6814.3	2022-04-10	10:45
6817.9	2022-04-11	6:35
6819.7	2022-04-12	7:40
6821.3	2022-04-13	7:19
6823.4	2022-04-14	7:30
6825.2	2022-04-15	7:49
6827.9	2022-04-16	11:44
6830.8	2022-04-17	12:56
6833.7	2022-04-18	7:00
6835.4	2022-04-19	7:22
6837	2022-04-20	7:42
6838.7	2022-04-21	7:41
6840.3	2022-04-22	7:20
6847.6	2022-04-25	7:42
6848.9	2022-04-26	8:00
6850.6	2022-04-27	8:02
6851.7	2022-04-28	8:21
6852.9	2022-04-29	8:44
6854.2	2022-04-30	12:06
6856.6	2022-05-01	17:01
6858.3	2022-05-02	13:43
6860.4	2022-05-03	11:43
6864.3	2022-05-04	8:18
6865.5	2022-05-05	7:18
6866.8	2022-05-06	8:23
6873.9	2022-05-08	13:52
